,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep,Fri,Mon,Sat,Sun,Thu,Tue,Wed,year,temp,dewp,wdsp,NUM_COLLISIONS
134,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2012,41.9,29.5,5.8,0.867052023
135,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2012,43.6,27.9,4.7,0.49132948
136,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2012,43.2,31,5.5,0.213872832
137,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2012,43,34.8,6.3,0.615606936
139,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2012,46.5,32.7,4.2,0.916184971
140,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2012,47.3,36.2,3.4,0.034682081
141,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2012,48.3,40.8,3.4,0.315028902
142,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2012,44.1,27.7,7.6,0.248554913
143,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2012,36.6,17.2,7.1,0.124277457
144,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2012,40.3,19.7,4.9,0.552023121
145,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2012,38.7,27.2,4.4,0.60982659
146,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2012,37.5,28.8,7.1,0.404624277
147,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2012,37.5,21.9,5.8,0.413294798
148,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2012,41.3,25.8,4.7,0.589595376
149,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,38.5,32.1,9.2,0.312138728
150,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,44.3,41,3,0.239884393
151,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,53.5,45.3,3.9,0.719653179
152,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,51.9,47.1,2.9,0.719653179
153,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,52.6,41.5,6.3,0.410404624
154,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,35,16.8,3.6,0.716763006
155,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,38.8,30.9,1.9,0.988439306
