"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","wdsp","NUM_COLLISIONS"
"139",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2012,46.5,32.7,4.2,0.916184971098266
"140",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2012,47.3,36.2,3.4,0.0346820809248555
"141",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2012,48.3,40.8,3.4,0.315028901734104
"142",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2012,44.1,27.7,7.6,0.248554913294798
"143",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2012,36.6,17.2,7.1,0.124277456647399
"144",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2012,40.3,19.7,4.9,0.552023121387283
"145",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2012,38.7,27.2,4.4,0.609826589595376
"146",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2012,37.5,28.8,7.1,0.404624277456647
"147",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2012,37.5,21.9,5.8,0.413294797687861
"148",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2012,41.3,25.8,4.7,0.589595375722543
"149",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,38.5,32.1,9.2,0.312138728323699
"150",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,44.3,41,3,0.239884393063584
"151",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,53.5,45.3,3.9,0.719653179190751
"152",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,51.9,47.1,2.9,0.719653179190751
"153",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,52.6,41.5,6.3,0.410404624277457
"154",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,35,16.8,3.6,0.716763005780347
"155",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,38.8,30.9,1.9,0.988439306358382
"156",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,47.3,46,3.5,0.601156069364162
"157",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,46.2,41.7,5.4,0.497109826589595
"158",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,50.3,49.5,5.7,0.713872832369942
"159",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,50.1,43.2,6,0.595375722543353
"160",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,40.1,23.6,3.3,0.514450867052023
"161",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,40.3,24.6,1.7,0.5
"162",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,41.4,23.2,4.1,0.797687861271676
"163",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,42.6,27.1,2.8,0.436416184971098
"164",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,44.5,37.8,6.5,0.369942196531792
"165",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,42,40.4,9.5,0.800578034682081
"166",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,47.3,44.5,7,0.789017341040462
"167",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,44,30.5,9.3,0.630057803468208
"168",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,39.8,29,8.5,0.676300578034682
"169",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,37.4,25,10.6,0.491329479768786
"170",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,37.8,20.5,7.6,0.104046242774566
"171",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,37,19.8,3,0.421965317919075
"172",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,32.2,25.3,9.5,0.459537572254335
"173",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,39.1,37.1,12.4,0.442196531791907
"174",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,33,22.4,10,0.534682080924855
"175",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,32.5,26.2,5.3,0.202312138728324
"176",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,32.4,21.1,11.9,0.11271676300578
"177",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,31.5,17.2,6.8,0.317919075144509
"178",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,38,25.6,15,0.0237388724035608
"179",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,27.5,12.1,12.4,0.317507418397626
"180",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,21.8,7.8,9.8,0.522255192878338
"181",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,32.2,21.1,11.3,0.391691394658754
"182",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,37.3,24.5,13.2,0.0474777448071217
"183",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,35.7,31.3,5.9,0.0593471810089021
"184",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,35.9,31,8.5,0.439169139465875
"185",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,39.8,34.1,10.4,0.415430267062315
"186",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,39.9,37.6,5.3,0.338278931750742
"187",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,43.5,30.4,14.7,0.540059347181009
"188",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,38,31.4,5.4,0.851632047477745
"189",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,42.7,41.5,7.9,0.302670623145401
"190",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,45.4,44.9,5.8,0
"191",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,47.2,47.1,8.2,0.501483679525223
"192",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,42.3,38.3,8,0.42433234421365
"193",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,41.6,40,8.8,0.608308605341246
"194",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,39.4,34.6,8.6,0.350148367952522
"195",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,28.1,16.6,15,0.55786350148368
"196",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,35.9,26.6,15.3,0.329376854599407
"197",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,46.3,41.2,14.9,0.0593471810089021
"198",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,26.3,18.1,10.8,0.507418397626113
"199",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,16.2,-1.1,15.6,0.510385756676558
"200",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,14.3,-1.9,15.5,0.537091988130564
"201",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,19,3.3,13.6,0.893175074183976
"202",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,24.4,16.6,10.5,0.548961424332344
"203",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,21.7,4.7,16.3,0.166172106824926
"204",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,27.3,10.8,7.4,0.397626112759644
"205",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,35.4,34.9,4.9,0.501483679525223
"206",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,45.1,44,12.4,0.367952522255193
"207",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,46.5,40.3,23.1,0.649851632047478
"208",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,33.1,15.5,18.2,0.596439169139466
"209",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,27.6,10.4,12.5,0.477744807121662
"210",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,30.7,24.5,9.8,0.213649851632047
"211",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,29,16.9,15.5,0.534124629080119
"212",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,28.7,16.6,8.2,0.572700296735905
